Spp,Label,Order,Zoonosis,ParasiteGMPD
Caracal_caracal,1,Carnivora,Anthrax,Bacillus anthracis
Caracal_caracal,1,Carnivora,Toxoplasmosis,Toxoplasma sp.
Catopuma_badia,0,Carnivora,,
Catopuma_temminckii,0,Carnivora,,
Cerdocyon_thous,1,Carnivora,Capillariasis - extraintestinal,Capillaria aerophila
Cerdocyon_thous,1,Carnivora,Dioctophyma renale infection,Dioctophyma renale
Cerdocyon_thous,1,Carnivora,Dipylidiasis,
Cerdocyon_thous,1,Carnivora,Leishmaniasis - cutaneous,
Cerdocyon_thous,1,Carnivora,Leishmaniasis - visceral,
Cerdocyon_thous,1,Carnivora,Leptospirosis,
Cerdocyon_thous,1,Carnivora,Rabies,
Cerdocyon_thous,1,Carnivora,Toxoplasmosis,
Chrotogale_owstoni,1,Carnivora,Influenza,
Chrysocyon_brachyurus,1,Carnivora,Dirofilariasis,
Chrysocyon_brachyurus,1,Carnivora,Leishmaniasis - visceral,
Chrysocyon_brachyurus,1,Carnivora,Leptospirosis,
Chrysocyon_brachyurus,1,Carnivora,Rabies,
Chrysocyon_brachyurus,1,Carnivora,Toxoplasmosis,
Civettictis_civetta,1,Carnivora,Rabies,
Conepatus_chinga,1,Carnivora,Leptospirosis,
Conepatus_humboldtii,0,Carnivora,,
Conepatus_leuconotus,0,Carnivora,,
Conepatus_semistriatus,0,Carnivora,,
Crocuta_crocuta,1,Carnivora,Dipylidiasis,
Crocuta_crocuta,1,Carnivora,Echinococcosis - unilocular,
Crocuta_crocuta,1,Carnivora,Rabies,
Crocuta_crocuta,1,Carnivora,Trypanosomiasis - African,
Crossarchus_alexandri,0,Carnivora,,
Crossarchus_ansorgei,0,Carnivora,,
Crossarchus_obscurus,1,Carnivora,Paragonimiasis,
Crossarchus_platycephalus,0,Carnivora,,
Cryptoprocta_ferox,1,Carnivora,Toxoplasmosis,
Cuon_alpinus,0,Carnivora,,
Cynictis_penicillata,1,Carnivora,Rabies,
Cynogale_bennettii,0,Carnivora,,
Cystophora_cristata,1,Carnivora,Cryptosporidiosis,
Cystophora_cristata,1,Carnivora,Giardiasis,
Cystophora_cristata,1,Carnivora,Toxoplasmosis,
Diplogale_hosei,0,Carnivora,,
Dologale_dybowskii,0,Carnivora,,
Dusicyon_australis,0,Carnivora,,
Eira_barbara,1,Carnivora,Mayaro,
Eira_barbara,1,Carnivora,Yellow fever,
Enhydra_lutris,1,Carnivora,Campylobacteriosis,
Enhydra_lutris,1,Carnivora,Coccidioidomycosis,
Enhydra_lutris,1,Carnivora,Histoplasmosis,
Enhydra_lutris,1,Carnivora,Salmonellosis,
Erignathus_barbatus,1,Carnivora,Toxoplasmosis,
Eumetopias_jubatus,1,Carnivora,Q-fever,
Eupleres_goudotii,0,Carnivora,,
Felis_bieti,0,Carnivora,,
Felis_catus,1,Carnivora,Bartonellosis - cat borne,
Felis_catus,1,Carnivora,Cryptosporidiosis,
Felis_catus,1,Carnivora,Dipylidiasis,
Felis_catus,1,Carnivora,Dirofilariasis,
Felis_catus,1,Carnivora,Giardiasis,
Felis_catus,1,Carnivora,Leishmaniasis - cutaneous,
Felis_catus,1,Carnivora,Leishmaniasis - mucocutaneous,
Felis_catus,1,Carnivora,Leishmaniasis - visceral,
Felis_catus,1,Carnivora,Toxocariasis,
Felis_catus,1,Carnivora,Toxoplasmosis,
Felis_chaus,0,Carnivora,,
Felis_manul,1,Carnivora,Toxoplasmosis,
Felis_margarita,1,Carnivora,Toxoplasmosis,
Felis_nigripes,1,Carnivora,Leishmaniasis - cutaneous,
Felis_nigripes,1,Carnivora,Leishmaniasis - mucocutaneous,
Felis_silvestris,1,Carnivora,Bartonellosis - cat borne,Bartonella sp.
Felis_silvestris,1,Carnivora,Bartonellosis - other systemic,
Felis_silvestris,1,Carnivora,Dirofilariasis,
Felis_silvestris,1,Carnivora,Leptospirosis,
Felis_silvestris,1,Carnivora,Thelaziasis,
Felis_silvestris,1,Carnivora,Toxoplasmosis,
Fossa_fossana,0,Carnivora,,
Galerella_flavescens,0,Carnivora,,
Galerella_ochracea,0,Carnivora,,
Galerella_pulverulenta,0,Carnivora,,
Galerella_sanguinea,0,Carnivora,,
Galictis_cuja,1,Carnivora,Dioctophyma renale infection,
Galictis_vittata,0,Carnivora,,
Galidia_elegans,0,Carnivora,,
Galidictis_fasciata,0,Carnivora,,
Galidictis_grandidieri,0,Carnivora,,
Genetta_abyssinica,0,Carnivora,,
Genetta_angolensis,0,Carnivora,,
Genetta_bourloni,0,Carnivora,,
Genetta_cristata,0,Carnivora,,
Genetta_genetta,1,Carnivora,Echinococcosis - multilocular,
Genetta_genetta,1,Carnivora,Echinococcosis - unilocular,
Genetta_genetta,1,Carnivora,Leishmaniasis - cutaneous,
Genetta_genetta,1,Carnivora,Leishmaniasis - visceral,
Genetta_genetta,1,Carnivora,Leptospirosis,
Genetta_genetta,1,Carnivora,Toxoplasmosis,
Genetta_genetta,1,Carnivora,Trypanosomiasis - African,
Genetta_johnstoni,0,Carnivora,,
Genetta_maculata,0,Carnivora,,
Genetta_pardina,0,Carnivora,,
Genetta_piscivora,0,Carnivora,,
Genetta_poensis,0,Carnivora,,
