Spp,Label,Order,Zoonosis,ParasiteGMPD
Prionodon_pardicolor,0,Carnivora,,
Procyon_cancrivorus,0,Carnivora,,
Procyon_lotor,1,Carnivora,Anaplasmosis,Anaplasma phagocytophilum
Procyon_lotor,1,Carnivora,Babesiosis,Babesia sp.
Procyon_lotor,1,Carnivora,Baylisascariasis,
Procyon_lotor,1,Carnivora,Borna virus encephalitis,
Procyon_lotor,1,Carnivora,California encephalitis group,
Procyon_lotor,1,Carnivora,Campylobacteriosis,
Procyon_lotor,1,Carnivora,Dirofilariasis,
Procyon_lotor,1,Carnivora,Ehrlichiosis - human monocytic,
Procyon_lotor,1,Carnivora,Histoplasmosis,
Procyon_lotor,1,Carnivora,Influenza,
Procyon_lotor,1,Carnivora,Japanese spotted fever,
Procyon_lotor,1,Carnivora,Leptospirosis,
Procyon_lotor,1,Carnivora,Lyme disease,
Procyon_lotor,1,Carnivora,Metagonimiasis,
Procyon_lotor,1,Carnivora,Powassan,
Procyon_lotor,1,Carnivora,Q-fever,
Procyon_lotor,1,Carnivora,Rabies,
Procyon_lotor,1,Carnivora,Rickettsia felis infection,
Procyon_lotor,1,Carnivora,Salmonellosis,
Procyon_lotor,1,Carnivora,Spotted fevers - Old World,
Procyon_lotor,1,Carnivora,Toxoplasmosis,
Procyon_lotor,1,Carnivora,Trypanosomiasis - American,
Procyon_lotor,1,Carnivora,Tularemia,
Procyon_lotor,1,Carnivora,Typhus - scrub,
Procyon_lotor,1,Carnivora,West Nile fever,
Procyon_lotor,1,Carnivora,Yersiniosis,
Procyon_pygmaeus,1,Carnivora,Baylisascariasis,
Procyon_pygmaeus,1,Carnivora,Toxoplasmosis,
Procyon_pygmaeus,1,Carnivora,Tularemia,
Profelis_aurata,0,Carnivora,,
Proteles_cristata,1,Carnivora,Bertiella and Inermicapsifer,
Pteronura_brasiliensis,0,Carnivora,,
Puma_concolor,1,Carnivora,Anaplasmosis,Anaplasma phagocytophilum
Puma_concolor,1,Carnivora,Bartonellosis - cat borne,Bartonella henselae
Puma_concolor,1,Carnivora,Capillariasis - extraintestinal,
Puma_concolor,1,Carnivora,Echinococcosis - American polycystic,
Puma_concolor,1,Carnivora,Lyme disease,
Puma_concolor,1,Carnivora,Plague,
Puma_concolor,1,Carnivora,Toxoplasmosis,
Puma_concolor,1,Carnivora,Tularemia,
Puma_yagouaroundi,1,Carnivora,Echinococcosis - American polycystic,
Puma_yagouaroundi,1,Carnivora,Toxoplasmosis,
Pusa_caspica,0,Carnivora,,
Pusa_hispida,1,Carnivora,Rabies,
Pusa_sibirica,0,Carnivora,,
Rhynchogale_melleri,0,Carnivora,,
Salanoia_concolor,0,Carnivora,,
Speothos_venaticus,1,Carnivora,Echinococcosis - American polycystic,
Speothos_venaticus,1,Carnivora,Leishmaniasis - visceral,
Spilogale_angustifrons,0,Carnivora,,
Spilogale_gracilis,0,Carnivora,,
Spilogale_putorius,0,Carnivora,,
Spilogale_pygmaea,0,Carnivora,,
Suricata_suricatta,1,Carnivora,Toxoplasmosis,
Suricata_suricatta,1,Carnivora,Tuberculosis,
Taxidea_taxus,1,Carnivora,Influenza,
Taxidea_taxus,1,Carnivora,Toxoplasmosis,
Tremarctos_ornatus,0,Carnivora,,
Uncia_uncia,1,Carnivora,Toxoplasmosis,
Urocyon_cinereoargenteus,1,Carnivora,Anaplasmosis,Anaplasma phagocytophilum
Urocyon_cinereoargenteus,1,Carnivora,Bartonellosis - cat borne,Bartonella vinsonii
Urocyon_cinereoargenteus,1,Carnivora,Bartonellosis - other systemic,
Urocyon_cinereoargenteus,1,Carnivora,Rabies,
Urocyon_cinereoargenteus,1,Carnivora,Trypanosomiasis - American,
Urocyon_cinereoargenteus,1,Carnivora,West Nile fever,
Urocyon_littoralis,1,Carnivora,Bartonellosis - cat borne,Bartonella vinsonii
Urocyon_littoralis,1,Carnivora,Bartonellosis - other systemic,
Ursus_americanus,1,Carnivora,Anaplasmosis,Anaplasma sp.
Ursus_americanus,1,Carnivora,Babesiosis,Babesia sp.
Ursus_americanus,1,Carnivora,Baylisascariasis,
Ursus_americanus,1,Carnivora,Blastomycosis,
Ursus_americanus,1,Carnivora,Cysticercosis,
Ursus_americanus,1,Carnivora,Dirofilariasis,
Ursus_americanus,1,Carnivora,Ehrlichiosis - human monocytic,
Ursus_americanus,1,Carnivora,Rocky Mountain spotted fever,
Ursus_americanus,1,Carnivora,Toxoplasmosis,
Ursus_americanus,1,Carnivora,Trichinosis,
Ursus_americanus,1,Carnivora,Tularemia,
Ursus_americanus,1,Carnivora,Venezuelan equine encephalitis,
Ursus_americanus,1,Carnivora,West Nile fever,
Ursus_arctos,1,Carnivora,Anaplasmosis,Anaplasma sp.
Ursus_arctos,1,Carnivora,Baylisascariasis,
Ursus_arctos,1,Carnivora,Brucellosis,
Ursus_arctos,1,Carnivora,Bunyaviridae infections - misc.,
Ursus_arctos,1,Carnivora,California encephalitis group,
Ursus_arctos,1,Carnivora,Cryptosporidiosis,
Ursus_arctos,1,Carnivora,Giardiasis,
Ursus_arctos,1,Carnivora,Hepatitis E,
Ursus_arctos,1,Carnivora,Histoplasmosis,
Ursus_arctos,1,Carnivora,Leptospirosis,
Ursus_arctos,1,Carnivora,Old World phleboviruses,
Ursus_arctos,1,Carnivora,Ornithosis,
Ursus_arctos,1,Carnivora,Q-fever,
Ursus_arctos,1,Carnivora,Trichinosis,
Ursus_arctos,1,Carnivora,Tularemia,
Ursus_arctos,1,Carnivora,West Nile fever,
Ursus_maritimus,1,Carnivora,Toxoplasmosis,
Ursus_maritimus,1,Carnivora,Trichinosis,
Ursus_thibetanus,1,Carnivora,Tularemia,
Viverra_civettina,0,Carnivora,,
Viverra_megaspila,0,Carnivora,,
Viverra_tangalunga,1,Carnivora,Filariasis - Brugia malayi,
Viverra_zibetha,0,Carnivora,,
Viverricula_indica,0,Carnivora,,
Vormela_peregusna,1,Carnivora,Lyme disease,
Vulpes_bengalensis,0,Carnivora,,
Vulpes_cana,1,Carnivora,Toxoplasmosis,
Vulpes_chama,0,Carnivora,,
Vulpes_corsac,1,Carnivora,Leishmaniasis - visceral,
Vulpes_corsac,1,Carnivora,Trichinosis,
Vulpes_ferrilata,1,Carnivora,Echinococcosis - multilocular,
Vulpes_lagopus,1,Carnivora,Echinococcosis - multilocular,
Vulpes_lagopus,1,Carnivora,Leptospirosis,
Vulpes_lagopus,1,Carnivora,Rabies,
Vulpes_lagopus,1,Carnivora,Toxoplasmosis,
Vulpes_lagopus,1,Carnivora,Trichinosis,
Vulpes_macrotis,0,Carnivora,,
Vulpes_pallida,0,Carnivora,,
Vulpes_rueppellii,0,Carnivora,,
Vulpes_velox,0,Carnivora,,
Vulpes_vulpes,1,Carnivora,Anaplasmosis,Anaplasma phagocytophilum
Vulpes_vulpes,1,Carnivora,Babesiosis,Babesia sp.
Vulpes_vulpes,1,Carnivora,Bartonellosis - cat borne,
Vulpes_vulpes,1,Carnivora,Bartonellosis - other systemic,
Vulpes_vulpes,1,Carnivora,California encephalitis group,
Vulpes_vulpes,1,Carnivora,Capillariasis - extraintestinal,
Vulpes_vulpes,1,Carnivora,Cryptosporidiosis,
Vulpes_vulpes,1,Carnivora,Diphyllobothriasis,
Vulpes_vulpes,1,Carnivora,Dipylidiasis,
Vulpes_vulpes,1,Carnivora,Dirofilariasis,
Vulpes_vulpes,1,Carnivora,Echinococcosis - multilocular,
Vulpes_vulpes,1,Carnivora,Echinococcosis - unilocular,
Vulpes_vulpes,1,Carnivora,Ehrlichiosis - human monocytic,
Vulpes_vulpes,1,Carnivora,Giardiasis,
Vulpes_vulpes,1,Carnivora,Hantavirus infection - Old World,
Vulpes_vulpes,1,Carnivora,Hymenolepis diminuta infection,
Vulpes_vulpes,1,Carnivora,Hymenolepis nana infection,
Vulpes_vulpes,1,Carnivora,Influenza,
Vulpes_vulpes,1,Carnivora,Leishmaniasis - cutaneous,
Vulpes_vulpes,1,Carnivora,Leishmaniasis - visceral,
Vulpes_vulpes,1,Carnivora,Leptospirosis,
Vulpes_vulpes,1,Carnivora,Lyme disease,
Vulpes_vulpes,1,Carnivora,Metagonimiasis,
Vulpes_vulpes,1,Carnivora,Moniliformis and Macracanthorhynchus,
Vulpes_vulpes,1,Carnivora,Opisthorchiasis,
Vulpes_vulpes,1,Carnivora,Paragonimiasis,
Vulpes_vulpes,1,Carnivora,Powassan,
Vulpes_vulpes,1,Carnivora,Rabies,
Vulpes_vulpes,1,Carnivora,Rickettsia felis infection,
Vulpes_vulpes,1,Carnivora,Sarcocystosis,
Vulpes_vulpes,1,Carnivora,Spotted fevers - Old World,
Vulpes_vulpes,1,Carnivora,Taeniasis,
Vulpes_vulpes,1,Carnivora,Thelaziasis,
Vulpes_vulpes,1,Carnivora,Tick-borne encephalitis,
Vulpes_vulpes,1,Carnivora,Toxocariasis,
Vulpes_vulpes,1,Carnivora,Toxoplasmosis,
Vulpes_vulpes,1,Carnivora,Trichinosis,
Vulpes_vulpes,1,Carnivora,Trypanosomiasis - American,
Vulpes_vulpes,1,Carnivora,Tularemia,
Vulpes_vulpes,1,Carnivora,West Nile fever,
Vulpes_zerda,0,Carnivora,,
Zalophus_californianus,1,Carnivora,Coccidioidomycosis,
Zalophus_californianus,1,Carnivora,Cryptosporidiosis,
Zalophus_californianus,1,Carnivora,Giardiasis,
Zalophus_californianus,1,Carnivora,Leptospirosis,
Zalophus_californianus,1,Carnivora,Toxoplasmosis,
Zalophus_japonicus,0,Carnivora,,
Zalophus_wollebaeki,0,Carnivora,,
